"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 01- 31","19,627.44","19,832.33","19,969.17","19,575.21","1.44B","-0.28%"
"2025- 01- 30","19,681.75","19,697.53","19,785.79","19,483.83","1.25B","0.25%"
"2025- 01- 29","19,632.32","19,695.68","19,699.82","19,479.51","1.16B","-0.51%"
"2025- 01- 28","19,733.59","19,418.22","19,759.43","19,294.62","1.34B","2.03%"
"2025- 01- 27","19,341.83","19,234.04","19,514.35","19,204.95","1.68B","-3.07%"
"2025- 01- 24","19,954.30","20,087.11","20,118.61","19,897.13","1.27B","-0.50%"
"2025- 01- 23","20,053.68","19,906.99","20,053.68","19,892.55","1.20B","0.22%"
"2025- 01- 22","20,009.34","19,903.05","20,068.52","19,903.05","1.32B","1.28%"
"2025- 01- 21","19,756.78","19,734.39","19,789.63","19,551.17","1.44B","0.64%"
"2025- 01- 17","19,630.20","19,655.55","19,709.64","19,543.32","1.38B","1.51%"
"2025- 01- 16","19,338.29","19,573.87","19,579.85","19,335.68","1.22B","-0.89%"
"2025- 01- 15","19,511.23","19,350.31","19,548.90","19,299.32","1.36B","2.45%"
"2025- 01- 14","19,044.39","19,207.75","19,273.14","18,926.60","1.24B","-0.23%"
"2025- 01- 13","19,088.10","18,903.66","19,099.97","18,831.91","1.42B","-0.38%"
"2025- 01- 10","19,161.63","19,312.26","19,315.11","19,018.75","1.47B","-1.63%"
"2025- 01- 08","19,478.88","19,469.37","19,544.51","19,308.54","1.45B","-0.06%"
"2025- 01- 07","19,489.68","19,938.08","19,940.21","19,421.02","1.64B","-1.89%"
"2025- 01- 06","19,864.98","19,851.99","20,007.95","19,784.99","1.59B","1.24%"
"2025- 01- 03","19,621.68","19,395.51","19,638.66","19,379.57","1.31B","1.77%"
"2025- 01- 02","19,280.79","19,403.90","19,517.87","19,117.59","1.30B","-0.16%"
"2024- 12- 31","19,310.79","19,551.36","19,563.72","19,283.41","1.35B","-0.90%"
"2024- 12- 30","19,486.79","19,460.41","19,622.93","19,342.51","1.30B","-1.19%"
"2024- 12- 27","19,722.03","19,896.77","19,904.77","19,553.40","1.28B","-1.49%"
"2024- 12- 26","20,020.36","19,979.25","20,070.08","19,888.11","1.03B","-0.05%"
"2024- 12- 24","20,031.13","19,818.48","20,031.13","19,813.76","711.22M","1.35%"
"2024- 12- 23","19,764.88","19,641.05","19,772.10","19,504.68","1.26B","0.98%"
"2024- 12- 20","19,572.60","19,190.04","19,758.61","19,168.38","3.70B","1.03%"
"2024- 12- 19","19,372.77","19,565.66","19,623.02","19,357.76","1.51B","-0.10%"
"2024- 12- 18","19,392.69","20,114.98","20,179.77","19,336.59","1.79B","-3.56%"
"2024- 12- 17","20,109.06","20,095.62","20,148.83","20,004.73","1.53B","-0.32%"
"2024- 12- 16","20,173.89","20,016.12","20,204.58","19,988.12","1.51B","1.24%"
"2024- 12- 13","19,926.72","19,995.18","20,061.65","19,817.47","1.17B","0.12%"
"2024- 12- 12","19,902.84","19,947.34","20,018.24","19,897.38","1.15B","-0.66%"
"2024- 12- 11","20,034.89","19,832.96","20,055.93","19,830.64","1.31B","1.77%"
"2024- 12- 10","19,687.24","19,796.39","19,887.08","19,641.34","1.28B","-0.25%"
"2024- 12- 09","19,736.69","19,824.09","19,872.79","19,698.05","1.46B","-0.62%"
"2024- 12- 06","19,859.77","19,743.96","19,863.14","19,734.42","1.23B","0.81%"
"2024- 12- 05","19,700.72","19,756.40","19,790.03","19,688.59","1.27B","-0.17%"
"2024- 12- 04","19,735.12","19,587.48","19,741.76","19,575.39","1.27B","1.30%"
"2024- 12- 03","19,480.91","19,364.34","19,486.14","19,340.41","1.13B","0.40%"
"2024- 12- 02","19,403.95","19,255.43","19,436.92","19,255.43","1.25B","0.97%"
"2024- 11- 29","19,218.17","19,087.47","19,245.49","19,066.52","797.08M","0.83%"
"2024- 11- 27","19,060.48","19,132.99","19,133.11","18,937.20","1.03B","-0.60%"
"2024- 11- 26","19,175.58","19,109.08","19,184.40","19,100.73","1.12B","0.63%"
"2024- 11- 25","19,054.84","19,140.59","19,208.68","18,969.35","1.91B","0.27%"
"2024- 11- 22","19,003.65","18,966.32","19,025.77","18,899.48","1.19B","0.16%"
"2024- 11- 21","18,972.42","19,072.78","19,110.89","18,714.06","1.26B","0.03%"
"2024- 11- 20","18,966.14","18,971.31","18,974.91","18,724.39","1.13B","-0.11%"
"2024- 11- 19","18,987.47","18,699.71","18,992.08","18,689.83","1.15B","1.04%"
"2024- 11- 18","18,791.81","18,717.93","18,865.28","18,672.30","1.24B","0.60%"
"2024- 11- 15","18,680.12","18,929.92","18,936.75","18,598.87","1.37B","-2.24%"
"2024- 11- 14","19,107.65","19,256.09","19,275.80","19,073.39","1.28B","-0.64%"
"2024- 11- 13","19,230.72","19,286.46","19,358.48","19,191.13","1.39B","-0.26%"
"2024- 11- 12","19,281.40","19,289.81","19,343.05","19,168.52","1.32B","-0.09%"
"2024- 11- 11","19,298.76","19,355.34","19,366.07","19,193.29","1.33B","0.06%"
"2024- 11- 08","19,286.78","19,255.14","19,318.56","19,224.43","1.31B","0.09%"
"2024- 11- 07","19,269.46","19,084.43","19,301.70","19,084.43","1.43B","1.51%"
"2024- 11- 06","18,983.46","18,772.76","19,000.50","18,730.21","1.64B","2.95%"
"2024- 11- 05","18,439.17","18,250.71","18,449.68","18,250.71","1.07B","1.43%"
"2024- 11- 04","18,179.98","18,220.43","18,308.30","18,112.83","1.04B","-0.33%"
"2024- 11- 01","18,239.92","18,189.67","18,363.94","18,181.53","1.05B","0.80%"
"2024- 10- 31","18,095.15","18,427.31","18,427.31","18,083.95","1.31B","-2.76%"
"2024- 10- 30","18,607.93","18,731.69","18,785.49","18,598.24","1.16B","-0.56%"
"2024- 10- 29","18,712.75","18,576.09","18,753.19","18,509.59","1.12B","0.78%"
"2024- 10- 28","18,567.19","18,648.25","18,671.01","18,563.02","1.03B","0.26%"
"2024- 10- 25","18,518.61","18,512.58","18,690.01","18,487.06","976.29M","0.56%"
"2024- 10- 24","18,415.49","18,384.15","18,435.37","18,305.42","977.77M","0.76%"
"2024- 10- 23","18,276.65","18,502.06","18,509.19","18,146.61","1.02B","-1.60%"
"2024- 10- 22","18,573.13","18,451.86","18,620.71","18,413.47","949.37M","0.18%"
"2024- 10- 21","18,540.01","18,456.48","18,543.58","18,377.63","1.01B","0.27%"
"2024- 10- 18","18,489.55","18,466.01","18,524.33","18,452.58","1.01B","0.63%"
"2024- 10- 17","18,373.61","18,537.21","18,541.46","18,368.79","1.03B","0.04%"
"2024- 10- 16","18,367.08","18,333.29","18,383.11","18,214.96","1.01B","0.28%"
"2024- 10- 15","18,315.59","18,515.97","18,564.25","18,252.52","1.15B","-1.01%"
"2024- 10- 14","18,502.69","18,426.66","18,547.91","18,423.60","901.62M","0.87%"
"2024- 10- 11","18,342.94","18,217.73","18,375.53","18,208.44","912.77M","0.33%"
"2024- 10- 10","18,282.05","18,200.62","18,333.39","18,154.18","957.62M","-0.05%"
"2024- 10- 09","18,291.62","18,179.22","18,302.05","18,133.02","898.50M","0.60%"
"2024- 10- 08","18,182.92","18,017.93","18,203.04","17,989.70","944.80M","1.45%"
"2024- 10- 07","17,923.90","18,080.12","18,096.33","17,900.04","1.01B","-1.18%"
"2024- 10- 04","18,137.85","18,130.42","18,145.28","17,952.30","950.41M","1.22%"
"2024- 10- 03","17,918.48","17,859.49","18,011.25","17,826.42","908.71M","-0.04%"
"2024- 10- 02","17,925.12","17,867.12","17,978.57","17,767.79","985.44M","0.08%"
"2024- 10- 01","17,910.36","18,154.94","18,162.72","17,779.77","1.11B","-1.53%"
"2024- 09- 30","18,189.17","18,069.83","18,198.16","17,997.56","1.20B","0.38%"
"2024- 09- 27","18,119.59","18,228.78","18,238.28","18,069.18","1.02B","-0.39%"
"2024- 09- 26","18,190.29","18,327.34","18,327.34","18,071.74","1.10B","0.60%"
"2024- 09- 25","18,082.21","18,050.36","18,155.04","18,040.62","958.50M","0.04%"
"2024- 09- 24","18,074.52","18,046.44","18,091.96","17,863.38","1.09B","0.56%"
"2024- 09- 23","17,974.27","17,994.90","18,021.57","17,936.37","1.05B","0.14%"
"2024- 09- 20","17,948.32","17,999.35","18,024.34","17,835.64","3.61B","-0.36%"
"2024- 09- 19","18,013.98","17,980.89","18,099.93","17,909.75","1.17B","2.51%"
"2024- 09- 18","17,573.30","17,663.38","17,832.70","17,556.43","1.09B","-0.31%"
"2024- 09- 17","17,628.06","17,707.02","17,781.74","17,544.64","940.89M","0.20%"
"2024- 09- 16","17,592.13","17,573.70","17,618.40","17,480.66","876.14M","-0.52%"
"2024- 09- 13","17,683.98","17,575.26","17,719.14","17,564.61","927.28M","0.65%"
"2024- 09- 12","17,569.68","17,413.89","17,605.72","17,338.32","952.15M","1.00%"
"2024- 09- 11","17,395.53","17,061.41","17,420.23","16,787.84","1.10B","2.17%"
"2024- 09- 10","17,025.88","16,949.64","17,036.07","16,801.13","936.37M","0.84%"
"2024- 09- 09","16,884.60","16,835.67","16,923.28","16,732.84","1.04B","1.16%"
"2024- 09- 06","16,690.83","17,137.62","17,166.54","16,668.57","1.08B","-2.55%"
"2024- 09- 05","17,127.66","17,063.24","17,295.58","17,035.07","933.23M","0.25%"
"2024- 09- 04","17,084.30","17,015.71","17,232.65","16,984.67","966.70M","-0.30%"
"2024- 09- 03","17,136.30","17,585.45","17,585.45","17,057.79","1.17B","-3.26%"
"2024- 08- 30","17,713.62","17,650.49","17,720.38","17,498.79","1.36B","1.13%"
"2024- 08- 29","17,516.43","17,610.57","17,789.21","17,482.60","974.88M","-0.23%"
"2024- 08- 28","17,556.03","17,738.80","17,759.94","17,439.40","949.55M","-1.12%"
"2024- 08- 27","17,754.82","17,655.52","17,789.72","17,573.37","799.40M","0.16%"
"2024- 08- 26","17,725.77","17,867.85","17,909.09","17,645.69","924.58M","-0.85%"
"2024- 08- 23","17,877.79","17,772.73","17,941.27","17,700.27","1.00B","1.47%"
"2024- 08- 22","17,619.35","17,993.72","18,017.69","17,589.15","938.95M","-1.67%"
"2024- 08- 21","17,918.99","17,840.51","17,963.07","17,790.98","892.18M","0.57%"
"2024- 08- 20","17,816.94","17,849.09","17,932.53","17,758.20","905.04M","-0.33%"
"2024- 08- 19","17,876.77","17,649.74","17,877.44","17,585.58","1.01B","1.39%"
"2024- 08- 16","17,631.72","17,516.40","17,674.65","17,502.82","989.75M","0.21%"
"2024- 08- 15","17,594.50","17,394.54","17,602.72","17,375.41","1.13B","2.34%"
"2024- 08- 14","17,192.60","17,227.64","17,260.73","17,032.17","948.92M","0.03%"
"2024- 08- 13","17,187.61","16,944.73","17,192.79","16,943.95","1.07B","2.43%"
"2024- 08- 12","16,780.61","16,793.64","16,895.79","16,699.39","4.10B","0.21%"
"2024- 08- 09","16,745.30","16,636.52","16,789.22","16,574.57","1.01B","0.51%"
"2024- 08- 08","16,660.02","16,408.27","16,694.25","16,262.93","1.17B","2.87%"
"2024- 08- 07","16,195.81","16,622.31","16,709.81","16,179.53","1.22B","-1.05%"
"2024- 08- 06","16,366.86","16,261.36","16,620.31","16,137.65","1.19B","1.03%"
"2024- 08- 05","16,200.08","15,712.53","16,453.46","15,708.54","1.53B","-3.43%"
"2024- 08- 02","16,776.16","16,780.45","16,920.63","16,582.79","1.34B","-2.43%"
"2024- 08- 01","17,194.14","17,647.03","17,791.59","17,051.42","1.32B","-2.30%"
"2024- 07- 31","17,599.40","17,499.23","17,693.98","17,438.60","1.34B","2.64%"
"2024- 07- 30","17,147.42","17,424.10","17,468.56","17,015.38","1.11B","-1.28%"
"2024- 07- 29","17,370.20","17,444.39","17,535.32","17,299.83","909.68M","0.07%"
"2024- 07- 26","17,357.88","17,331.95","17,454.57","17,239.99","972.96M","1.03%"
"2024- 07- 25","17,181.72","17,352.64","17,544.46","17,033.96","1.20B","-0.93%"
"2024- 07- 24","17,342.41","17,733.91","17,747.06","17,313.52","1.19B","-3.64%"
"2024- 07- 23","17,997.35","17,982.74","18,128.38","17,968.10","960.97M","-0.06%"
"2024- 07- 22","18,007.57","17,923.64","18,040.99","17,839.76","1.04B","1.58%"
"2024- 07- 19","17,726.94","17,835.59","17,935.14","17,691.43","1.12B","-0.81%"
"2024- 07- 18","17,871.22","18,119.15","18,130.87","17,759.54","1.13B","-0.70%"
"2024- 07- 17","17,996.93","18,188.19","18,223.24","17,972.87","1.26B","-2.77%"
"2024- 07- 16","18,509.34","18,534.27","18,576.83","18,386.07","1.12B","0.20%"
"2024- 07- 15","18,472.57","18,485.91","18,641.53","18,397.83","1.08B","0.40%"
"2024- 07- 12","18,398.45","18,303.64","18,556.73","18,293.60","1.10B","0.63%"
"2024- 07- 11","18,283.41","18,659.25","18,671.07","18,238.78","1.23B","-1.95%"
"2024- 07- 10","18,647.45","18,512.09","18,655.19","18,467.58","971.36M","1.18%"
"2024- 07- 09","18,429.29","18,465.02","18,511.89","18,381.60","914.80M","0.14%"
"2024- 07- 08","18,403.74","18,371.86","18,416.94","18,342.60","984.76M","0.28%"
"2024- 07- 05","18,352.76","18,200.60","18,366.31","18,197.13","963.80M","0.90%"
"2024- 07- 03","18,188.30","18,016.12","18,188.30","18,016.12","692.06M","0.88%"
"2024- 07- 02","18,028.76","17,808.04","18,031.29","17,802.24","932.12M","0.84%"
"2024- 07- 01","17,879.30","17,773.90","17,894.28","17,657.64","1.03B","0.83%"
"2024- 06- 28","17,732.60","17,891.10","18,035.00","17,723.83","3.78B","-0.71%"
"2024- 06- 27","17,858.68","17,793.95","17,892.78","17,765.42","1.05B","0.30%"
"2024- 06- 26","17,805.16","17,697.27","17,813.55","17,687.07","1.04B","0.49%"
"2024- 06- 25","17,717.65","17,572.16","17,734.35","17,546.63","1.08B","1.26%"
"2024- 06- 24","17,496.82","17,640.26","17,730.12","17,494.02","1.14B","-1.09%"
"2024- 06- 21","17,689.36","17,681.01","17,787.34","17,620.57","3.54B","-0.18%"
"2024- 06- 20","17,721.59","17,913.94","17,936.79","17,650.70","1.26B","-0.79%"
"2024- 06- 18","17,862.23","17,856.76","17,890.52","17,796.88","1.11B","0.03%"
"2024- 06- 17","17,857.02","17,697.30","17,935.98","17,636.36","1.04B","0.95%"
"2024- 06- 14","17,688.88","17,621.18","17,693.43","17,590.80","965.43M","0.12%"
"2024- 06- 13","17,667.56","17,715.27","17,741.80","17,566.32","981.98M","0.34%"
"2024- 06- 12","17,608.44","17,502.15","17,725.39","17,490.64","1.13B","1.53%"
"2024- 06- 11","17,343.55","17,160.42","17,345.05","17,107.99","941.87M","0.88%"
"2024- 06- 10","17,192.53","17,083.45","17,213.45","17,057.34","1.01B","0.35%"
"2024- 06- 07","17,133.13","17,124.13","17,229.31","17,090.04","897.39M","-0.23%"
"2024- 06- 06","17,173.12","17,204.87","17,235.73","17,123.59","940.92M","-0.09%"
"2024- 06- 05","17,187.90","16,974.48","17,187.92","16,955.56","1.01B","1.96%"
"2024- 06- 04","16,857.05","16,823.88","16,891.87","16,750.39","975.74M","0.17%"
"2024- 06- 03","16,828.67","16,865.70","16,909.89","16,646.43","1.06B","0.56%"
"2024- 05- 31","16,735.02","16,771.90","16,789.27","16,445.54","1.81B","-0.01%"
"2024- 05- 30","16,737.08","16,878.63","16,900.46","16,690.36","1.11B","-1.08%"
"2024- 05- 29","16,920.58","16,879.35","16,989.60","16,873.97","1.15B","-0.58%"
"2024- 05- 28","17,019.88","16,988.31","17,032.65","16,917.51","1.10B","0.59%"
"2024- 05- 24","16,920.79","16,786.79","16,947.79","16,771.58","953.61M","1.10%"
"2024- 05- 23","16,736.03","16,996.38","16,996.38","16,678.37","1.21B","-0.39%"
"2024- 05- 22","16,801.54","16,839.02","16,855.27","16,712.09","1.15B","-0.18%"
"2024- 05- 21","16,832.62","16,736.10","16,839.02","16,719.97","1.02B","0.22%"
"2024- 05- 20","16,794.87","16,702.02","16,823.83","16,695.69","1.12B","0.65%"
"2024- 05- 17","16,685.97","16,708.49","16,726.41","16,613.84","1.43B","-0.07%"
"2024- 05- 16","16,698.32","16,738.11","16,797.83","16,693.45","1.47B","-0.26%"
"2024- 05- 15","16,742.39","16,601.14","16,749.74","16,544.09","1.32B","1.40%"
"2024- 05- 14","16,511.18","16,391.16","16,526.27","16,386.44","1.24B","0.75%"
"2024- 05- 13","16,388.24","16,400.31","16,407.05","16,334.86","953.22M","0.29%"
"2024- 05- 10","16,340.87","16,389.02","16,437.39","16,293.52","940.76M","-0.03%"
"2024- 05- 09","16,346.26","16,323.74","16,362.79","16,241.98","945.46M","0.27%"
"2024- 05- 08","16,302.76","16,226.07","16,341.65","16,226.07","976.92M","-0.18%"
"2024- 05- 07","16,332.55","16,358.34","16,397.39","16,303.84","1.02B","-0.10%"
"2024- 05- 06","16,349.25","16,208.54","16,350.08","16,197.86","919.31M","1.19%"
"2024- 05- 03","16,156.33","16,147.48","16,204.71","16,068.34","1.03B","1.99%"
"2024- 05- 02","15,840.96","15,758.11","15,862.79","15,604.73","1.05B","1.51%"
"2024- 05- 01","15,605.48","15,646.09","15,926.22","15,557.64","1.12B","-0.33%"
"2024- 04- 30","15,657.82","15,920.89","15,979.36","15,655.67","1.15B","-2.04%"
"2024- 04- 29","15,983.08","16,007.00","16,021.50","15,885.89","953.16M","0.35%"
"2024- 04- 26","15,927.90","15,821.33","15,981.00","15,770.72","939.96M","2.03%"
"2024- 04- 25","15,611.76","15,375.26","15,644.51","15,343.91","990.23M","-0.64%"
"2024- 04- 24","15,712.75","15,805.60","15,839.00","15,634.44","955.27M","0.10%"
"2024- 04- 23","15,696.64","15,525.55","15,730.35","15,510.58","981.75M","1.59%"
"2024- 04- 22","15,451.30","15,396.13","15,539.00","15,265.66","930.20M","1.11%"
"2024- 04- 19","15,282.01","15,547.10","15,576.70","15,222.78","1.11B","-2.05%"
"2024- 04- 18","15,601.50","15,705.70","15,786.12","15,587.50","936.42M","-0.52%"
"2024- 04- 17","15,683.37","15,942.29","15,957.03","15,654.51","896.71M","-1.15%"
"2024- 04- 16","15,865.25","15,856.38","15,965.79","15,822.02","912.04M","-0.12%"
"2024- 04- 15","15,885.02","16,276.47","16,295.27","15,863.88","980.76M","-1.79%"
"2024- 04- 12","16,175.09","16,293.03","16,341.46","16,125.33","906.05M","-1.62%"
"2024- 04- 11","16,442.20","16,236.20","16,464.60","16,154.65","888.86M","1.68%"
"2024- 04- 10","16,170.36","16,104.01","16,200.10","16,092.02","992.41M","-0.84%"
"2024- 04- 09","16,306.64","16,328.76","16,348.18","16,141.15","888.26M","0.32%"
"2024- 04- 08","16,253.96","16,285.18","16,323.60","16,220.72","852.61M","0.03%"
"2024- 04- 05","16,248.52","16,095.40","16,326.50","16,080.49","903.32M","1.24%"
"2024- 04- 04","16,049.08","16,418.57","16,468.04","16,046.56","1.07B","-1.40%"
"2024- 04- 03","16,277.46","16,178.79","16,340.74","16,169.31","1.01B","0.23%"
"2024- 04- 02","16,240.45","16,199.24","16,251.41","16,137.24","1.03B","-0.95%"
"2024- 04- 01","16,396.83","16,397.05","16,490.65","16,327.89","930.02M","0.11%"
"2024- 03- 28","16,379.46","16,377.23","16,420.92","16,347.38","1.22B","-0.12%"
"2024- 03- 27","16,399.52","16,424.76","16,431.82","16,279.17","986.80M","0.51%"
"2024- 03- 26","16,315.70","16,446.85","16,476.38","16,312.95","1.00B","-0.42%"
"2024- 03- 25","16,384.47","16,335.30","16,441.17","16,315.72","896.53M","-0.27%"
"2024- 03- 22","16,428.82","16,387.83","16,467.62","16,361.00","880.01M","0.16%"
"2024- 03- 21","16,401.84","16,517.24","16,538.86","16,393.90","1.06B","0.20%"
"2024- 03- 20","16,369.41","16,185.76","16,377.44","16,127.48","1.03B","1.25%"
"2024- 03- 19","16,166.79","16,031.93","16,175.59","15,951.86","1.04B","0.39%"
"2024- 03- 18","16,103.45","16,154.92","16,247.59","16,094.17","1.04B","0.82%"
"2024- 03- 15","15,973.17","16,043.58","16,055.33","15,925.91","3.07B","-0.96%"
"2024- 03- 14","16,128.53","16,209.19","16,245.32","16,039.68","1.18B","-0.30%"
"2024- 03- 13","16,177.77","16,220.11","16,233.29","16,143.34","1.09B","-0.54%"
"2024- 03- 12","16,265.64","16,116.98","16,275.45","15,992.98","1.02B","1.54%"
"2024- 03- 11","16,019.27","16,052.63","16,085.95","15,978.04","970.77M","-0.41%"
"2024- 03- 08","16,085.11","16,322.10","16,449.70","16,059.50","1.09B","-1.16%"
"2024- 03- 07","16,273.38","16,147.32","16,309.02","16,096.01","1.03B","1.51%"
"2024- 03- 06","16,031.54","16,092.00","16,128.56","15,956.66","1.11B","0.58%"
"2024- 03- 05","15,939.59","16,077.74","16,087.57","15,862.63","1.16B","-1.65%"
"2024- 03- 04","16,207.51","16,264.21","16,289.06","16,199.06","1.17B","-0.41%"
"2024- 03- 01","16,274.94","16,109.83","16,302.24","16,096.60","1.10B","1.14%"
"2024- 02- 29","16,091.92","16,059.34","16,115.96","15,931.70","1.65B","0.90%"
"2024- 02- 28","15,947.74","15,969.14","16,003.56","15,924.72","1.10B","-0.55%"
"2024- 02- 27","16,035.30","16,013.98","16,046.10","15,940.51","1.10B","0.37%"
"2024- 02- 26","15,976.25","16,014.45","16,054.90","15,973.90","1.06B","-0.13%"
"2024- 02- 23","15,996.82","16,094.80","16,134.22","15,954.50","1.00B","-0.28%"
"2024- 02- 22","16,041.62","15,904.48","16,061.82","15,869.24","1.14B","2.96%"
"2024- 02- 21","15,580.87","15,532.12","15,583.68","15,451.65","984.02M","-0.32%"
"2024- 02- 20","15,630.78","15,679.84","15,730.47","15,508.50","1.10B","-0.92%"
"2024- 02- 16","15,775.65","15,910.43","15,917.41","15,752.02","1.12B","-0.82%"
"2024- 02- 15","15,906.17","15,865.30","15,911.22","15,779.71","1.22B","0.30%"
"2024- 02- 14","15,859.15","15,781.71","15,865.51","15,683.94","1.08B","1.30%"
"2024- 02- 13","15,655.60","15,598.88","15,770.42","15,551.44","1.21B","-1.80%"
"2024- 02- 12","15,942.54","15,980.62","16,080.07","15,917.87","1.09B","-0.30%"
"2024- 02- 09","15,990.66","15,842.38","16,007.29","15,831.76","1.08B","1.25%"
"2024- 02- 08","15,793.71","15,762.23","15,813.27","15,739.18","1.02B","0.24%"
"2024- 02- 07","15,756.64","15,690.35","15,770.67","15,645.80","943.13M","0.95%"
"2024- 02- 06","15,609.00","15,638.19","15,652.75","15,515.25","931.55M","0.07%"
"2024- 02- 05","15,597.68","15,613.99","15,637.88","15,471.68","923.28M","-0.20%"
"2024- 02- 02","15,628.95","15,403.16","15,664.21","15,366.78","956.87M","1.74%"
"2024- 02- 01","15,361.64","15,254.02","15,372.13","15,208.88","1.01B","1.30%"
"2024- 01- 31","15,164.01","15,324.19","15,405.55","15,158.49","1.29B","-2.23%"
"2024- 01- 30","15,509.90","15,604.08","15,619.23","15,484.67","915.72M","-0.76%"
"2024- 01- 29","15,628.04","15,470.66","15,630.58","15,449.87","959.39M","1.12%"
"2024- 01- 26","15,455.36","15,474.85","15,538.84","15,433.04","857.50M","-0.36%"
"2024- 01- 25","15,510.50","15,555.62","15,597.25","15,430.68","998.98M","0.18%"
"2024- 01- 24","15,481.92","15,560.61","15,629.07","15,468.91","932.89M","0.36%"
"2024- 01- 23","15,425.94","15,391.41","15,432.35","15,337.23","959.54M","0.43%"
"2024- 01- 22","15,360.29","15,393.05","15,438.85","15,333.63","1.04B","0.32%"
"2024- 01- 19","15,310.97","15,122.38","15,310.97","15,087.20","1.14B","1.70%"
"2024- 01- 18","15,055.65","14,994.52","15,066.81","14,911.11","1.04B","1.35%"
